date,home_team,home_team_score,visit_team,visit_team_score
2004-03-13,Houston,88,Memphis,80
2004-03-16,Memphis,82,Philadelphia,79
2004-03-18,Memphis,94,Oklahoma City,97
2004-03-20,Memphis,99,Indiana,95
2004-03-23,Memphis,95,Toronto,86
2004-03-24,NY Knicks,97,Memphis,111
2004-03-26,Memphis,109,Houston,86
2004-03-28,Toronto,88,Memphis,94
2004-03-29,Atlanta,133 2OT,Memphis,136
2004-04-02,Memphis,109,Phoenix,99
2004-04-04,Minnesota,90,Memphis,82
2004-04-05,Utah,92,Memphis,81
2004-04-07,Memphis,92,Cleveland,74
2004-04-09,Los Angeles,103,Memphis,95
2004-04-11,Phoenix,89,Memphis,83
2004-04-13,Dallas,110,Memphis,103
2004-04-14,Memphis,90,Minnesota,107
2005-11-03,Memphis,91,Washington,103
2005-11-05,Memphis,81,Houston,89
2005-11-06,Dallas,112,Memphis,88
2005-11-09,Houston,90,Memphis,87
2005-11-10,Memphis,110,Los Angeles,87
2005-11-12,Memphis,96,Golden State,67
2005-11-14,Oklahoma City,118,Memphis,113
2005-11-17,Portland,82,Memphis,101
2005-11-19,Sacramento,107,Memphis,105
2005-11-20,Golden State,87,Memphis,100
2005-11-22,Memphis,93,San Antonio,90
2005-11-24,Memphis,84,Oklahoma City,93
2005-11-26,Minnesota,115,Memphis,90
2005-11-27,Memphis,85,Dallas,98
2005-11-30,Memphis,93,Sacramento,98
2005-12-01,NY Knicks,90,Memphis,82
2005-12-03,Memphis,94,Philadelphia,86
2005-12-04,Orlando,96,Memphis,91
2005-12-07,Memphis,96,NY Knicks,88
2005-12-08,Atlanta,89,Memphis,97
2005-12-10,Miami,92,Memphis,84
2005-12-11,Memphis,72,Detroit,68
2005-12-13,Memphis,86,Cleveland,92
2005-12-15,Memphis,88,Chicago,96
2005-12-17,Memphis,89,Brooklyn,84
2005-12-19,LA,82,Memphis,92
2005-12-20,Los Angeles,72,Memphis,82
2005-12-22,Golden State,109,Memphis,99
2005-12-23,Phoenix,109,Memphis,102
2005-12-27,Memphis,96,LA,76
2005-12-29,Memphis,117,Boston,109
2005-01-01,Minnesota,95,Memphis,104
2005-01-03,Memphis,92,Utah,82
2005-01-06,Detroit,79,Memphis,101
2005-01-07,Memphis,84,New Orleans,76
2005-01-11,Memphis,85,Indiana,86
2005-01-14,Charlotte,89,Memphis,109
2005-01-15,Memphis,101,Milwaukee,82
2005-01-17,Memphis,99,Houston,80
2005-01-19,Phoenix,79,Memphis,88
2005-01-21,Denver,92,Memphis,82
2005-01-22,Utah,94,Memphis,110
2005-01-25,Memphis,95,Orlando,83
2005-01-26,Cleveland,114,Memphis,111
2005-01-29,Memphis,84,Atlanta,83
2005-01-31,New Orleans,91,Memphis,98
2005-02-01,Memphis,108,Phoenix,97
2005-02-03,Memphis,103,LA,106
2005-02-08,Memphis,108,Minnesota,96
2005-02-09,Philadelphia,95,Memphis,98
2005-02-11,Memphis,88,Portland,82
2005-02-13,Indiana,76,Memphis,73
2005-02-16,Boston,90,Memphis,88
2005-02-23,Washington,93,Memphis,83
2005-02-25,Memphis,94 OT,Denver,97
2005-02-26,San Antonio,82,Memphis,84
2005-03-01,Memphis,99,Golden State,97
2005-03-04,Memphis,86,Toronto,75
2005-03-07,LA,102,Memphis,105
2005-03-08,Sacramento,85,Memphis,82
2005-03-11,Utah,82,Memphis,94
2005-03-12,Portland,80,Memphis,66
2005-03-14,Memphis,104,Portland,83
2005-03-16,New Orleans,82,Memphis,88
2005-03-18,Memphis,88,Minnesota,83
2005-03-20,Memphis,91,Phoenix,97
2005-03-24,Brooklyn,96,Memphis,105
2005-03-26,Memphis,85,New Orleans,96
2005-03-28,Chicago,94,Memphis,86
2005-03-29,Memphis,99,Oklahoma City,102
2005-04-01,Milwaukee,82,Memphis,93
2005-04-03,Memphis,102,Los Angeles,82
2005-04-05,Memphis,91,Denver,94
2005-04-06,Toronto,74,Memphis,104
2005-04-08,Memphis,97,Miami,81
2005-04-10,Memphis,102,Charlotte,95
2005-04-11,Dallas,110,Memphis,89
2005-04-13,Houston,100,Memphis,92
2005-04-15,Denver,111,Memphis,102
2005-04-16,San Antonio,97,Memphis,75
2005-04-18,Memphis,94,San Antonio,92
2005-04-20,Memphis,88,Dallas,108
2006-11-02,Memphis,78,Miami,97
2006-11-04,Orlando,85,Memphis,94
2006-11-05,Memphis,113,Cleveland,106
2006-11-08,Memphis,94,Oklahoma City,69
2006-11-09,Boston,99,Memphis,98
2006-11-11,Cleveland,89,Memphis,70
2006-11-12,Atlanta,84,Memphis,85
2006-11-14,Memphis,85,Los Angeles,73
2006-11-16,Phoenix,103,Memphis,115
2006-11-19,Utah,72,Memphis,80
2006-11-20,Denver,99,Memphis,83
2006-11-22,Memphis,87,Portland,95
2006-11-25,Memphis,86,Houston,81
2006-11-26,Dallas,92,Memphis,112
2006-11-30,Toronto,66,Memphis,92
2006-12-02,Memphis,91,Orlando,69
2006-12-03,Houston,75,Memphis,90
2006-12-06,Memphis,89,New Orleans,73
2006-12-09,Memphis,83,Dallas,90
2006-12-10,Indiana,80,Memphis,66
2006-12-14,Memphis,79,Los Angeles,94
2006-12-17,Memphis,91,Phoenix,87
2006-12-19,Memphis,104 2OT,Detroit,106
2006-12-21,Memphis,89,Portland,79
2006-12-23,Memphis,95,Chicago,77
2006-12-26,Utah,105,Memphis,102 OT
2006-12-28,Los Angeles,99 OT,Memphis,100
2006-12-30,Portland,90,Memphis,93
2006-12-31,Oklahoma City,96,Memphis,100
2006-01-03,Memphis,104,Golden State,94
2006-01-06,Memphis,87,Utah,65
2006-01-07,Chicago,111,Memphis,82
2006-01-10,Memphis,99,Sacramento,85
2006-01-13,Memphis,81,Brooklyn,69
2006-01-14,San Antonio,80,Memphis,79
2006-01-16,Memphis,83,San Antonio,93
2006-01-18,New Orleans,87,Memphis,79
2006-01-20,Philadelphia,89,Memphis,86 OT
2006-01-22,Washington,82,Memphis,93
2006-01-24,Miami,94,Memphis,82
2006-01-25,Memphis,107,Minnesota,87
2006-01-27,Detroit,95,Memphis,89
2006-01-28,Memphis,86,New Orleans,95
2006-01-30,Memphis,86,Houston,77
2006-02-01,Memphis,80,Dallas,81
2006-02-04,Milwaukee,88,Memphis,78
2006-02-07,Sacramento,104,Memphis,96
2006-02-08,Phoenix,108,Memphis,102
2006-02-10,LA,91,Memphis,87
2006-02-11,Los Angeles,99,Memphis,100
2006-02-13,Golden State,79,Memphis,81
2006-02-15,Memphis,84,Sacramento,78
2006-02-21,Memphis,94,Toronto,88
2006-02-23,Dallas,97,Memphis,87
2006-02-24,Memphis,80,San Antonio,83
2006-02-26,Minnesota,105,Memphis,99
2006-02-27,Memphis,108,Washington,98
2006-03-01,Memphis,101,NY Knicks,99
2006-03-05,LA,86,Memphis,102
2006-03-06,Denver,115,Memphis,101
2006-03-08,Oklahoma City,74,Memphis,99
2006-03-10,Sacramento,105,Memphis,93
2006-03-12,Memphis,91,Philadelphia,94
2006-03-14,Memphis,93,Boston,76
2006-03-17,Memphis,116,Denver,102
2006-03-19,Memphis,90,Utah,84
2006-03-21,Memphis,105,Indiana,75
2006-03-23,Memphis,95,LA,85
2006-03-24,NY Knicks,75,Memphis,91
2006-03-26,Memphis,102,Charlotte,95
2006-03-28,Memphis,97,Oklahoma City,98
2006-03-29,Brooklyn,86,Memphis,74
2006-03-31,New Orleans,107,Memphis,102
2006-04-02,Memphis,98,Atlanta,87
2006-04-04,Memphis,100,Golden State,75
2006-04-07,Memphis,100,Milwaukee,90
2006-04-09,San Antonio,83,Memphis,81
2006-04-11,Memphis,92,Minnesota,76
2006-04-12,Charlotte,88,Memphis,96
2006-04-15,Houston,81,Memphis,93
2006-04-18,Memphis,101,LA,95
2006-04-19,Minnesota,92 2OT,Memphis,102
