date,home_team,home_team_score,visit_team,visit_team_score
2004-03-06,Denver,66,Detroit,97
2004-03-07,Oklahoma City,65,Detroit,86
2004-03-10,Detroit,98,Chicago,65
2004-03-14,Detroit,85,Philadelphia,69
2004-03-18,Brooklyn,71,Detroit,89
2004-03-19,Detroit,94,Denver,75
2004-03-21,Cleveland,76,Detroit,96
2004-03-23,New Orleans,82,Detroit,81
2004-03-25,San Antonio,84,Detroit,75
2004-03-27,Detroit,100,NY Knicks,85
2004-03-31,Detroit,108,LA,99
2004-04-02,Detroit,92,Miami,84
2004-04-04,Detroit,79,Indiana,61
2004-04-06,Detroit,102,Orlando,86
2004-04-09,Detroit,74,Toronto,66
2004-04-10,Orlando,89,Detroit,101
2004-04-12,Detroit,101,Washington,79
2004-04-13,Toronto,87,Detroit,78
2005-11-02,Detroit,87,Houston,79
2005-11-05,Toronto,101,Detroit,89
2005-11-06,Detroit,99,Philadelphia,91
2005-11-08,LA,96 2OT,Detroit,99
2005-11-11,Denver,117,Detroit,109
2005-11-13,Utah,108,Detroit,93
2005-11-17,Detroit,93,Minnesota,85
2005-11-19,Detroit,82,Indiana,97
2005-11-21,Detroit,117,Charlotte,116 2OT
2005-11-23,Charlotte,91,Detroit,89
2005-11-24,Cleveland,92,Detroit,76
2005-11-26,Detroit,78,Miami,77
2005-11-27,Milwaukee,96,Detroit,90
2005-11-30,Houston,72,Detroit,93
2005-12-03,San Antonio,80,Detroit,77
2005-12-04,New Orleans,69,Detroit,92
2005-12-06,Dallas,85,Detroit,101
2005-12-08,Detroit,90,Toronto,86 OT
2005-12-10,Detroit,72,Atlanta,88
2005-12-11,Memphis,72,Detroit,68
2005-12-15,NY Knicks,93,Detroit,94
2005-12-16,Detroit,81,Cleveland,69
2005-12-18,Detroit,74,Portland,75
2005-12-22,Detroit,82,Chicago,89
2005-12-25,Indiana,93,Detroit,98
2005-12-27,Detroit,100,Brooklyn,90 OT
2005-12-29,Washington,105,Detroit,107
2005-12-30,Detroit,78,Miami,89
2005-01-02,Detroit,100,Boston,88
2005-01-03,Chicago,80,Detroit,87
2005-01-06,Detroit,79,Memphis,101
2005-01-07,Boston,104,Detroit,110
2005-01-11,Brooklyn,80,Detroit,89
2005-01-12,Detroit,90,New Orleans,76
2005-01-14,Detroit,101,Orlando,94
2005-01-15,Detroit,99,Philadelphia,95
2005-01-17,Detroit,94,Phoenix,80
2005-01-18,Orlando,103,Detroit,101
2005-01-21,Milwaukee,89,Detroit,86
2005-01-22,Detroit,89,Chicago,100
2005-01-24,Minnesota,86,Detroit,83
2005-01-26,Detroit,87,Denver,70
2005-01-27,Indiana,76,Detroit,88
2005-01-29,Detroit,91,NY Knicks,61
2005-02-01,Washington,96,Detroit,105
2005-02-02,Detroit,99,Atlanta,84
2005-02-05,Brooklyn,107,Detroit,85
2005-02-10,Detroit,103,Los Angeles,81
2005-02-12,Detroit,107,Washington,86
2005-02-14,Detroit,107,Milwaukee,83
2005-02-16,Philadelphia,75,Detroit,93
2005-02-22,Detroit,97,NY Knicks,88
2005-02-25,Los Angeles,90,Detroit,111
2005-02-27,Golden State,88,Detroit,94
2005-03-01,Portland,93,Detroit,103
2005-03-03,Phoenix,100,Detroit,97
2005-03-04,Oklahoma City,95,Detroit,87
2005-03-06,Sacramento,100,Detroit,85
2005-03-09,Detroit,92,Golden State,88
2005-03-11,Boston,115,Detroit,113 2OT
2005-03-13,Detroit,64,Utah,62
2005-03-14,Atlanta,108 OT,Detroit,114
2005-03-16,Detroit,102,Oklahoma City,95
2005-03-18,Detroit,103,Toronto,92
2005-03-20,Detroit,110,San Antonio,101
2005-03-22,Cleveland,91,Detroit,76
2005-03-23,Philadelphia,107,Detroit,84
2005-03-25,Detroit,81,Indiana,94
