date,home_team,home_team_score,visit_team,visit_team_score
2004-02-27,Oklahoma City,99,Phoenix,104
2004-02-29,Sacramento,108,Phoenix,94
2004-03-03,Phoenix,87,Brooklyn,74
2004-03-06,Phoenix,86,San Antonio,107
2004-03-08,Dallas,103,Phoenix,90
2004-03-12,Phoenix,90,Utah,99
2004-03-13,Phoenix,90,Dallas,113
2004-03-15,Houston,97 OT,Phoenix,99
2004-03-16,Phoenix,98,LA,110
2004-03-19,Phoenix,80,Minnesota,93
2004-03-20,Phoenix,123,Milwaukee,111
2004-03-23,Cleveland,86,Phoenix,103
2004-03-24,Philadelphia,99,Phoenix,94
2004-03-26,New Orleans,94,Phoenix,99
2004-03-27,San Antonio,105,Phoenix,76
2004-03-29,Phoenix,101,Washington,95
2004-04-02,Memphis,109,Phoenix,99
2004-04-03,Dallas,124,Phoenix,103
2004-04-07,Phoenix,96,Denver,111
2004-04-09,Phoenix,101,Sacramento,96
2004-04-11,Phoenix,89,Memphis,83
2004-04-13,Phoenix,96,LA,98
2004-04-14,Utah,84,Phoenix,89
2005-11-03,Phoenix,112,Atlanta,82
2005-11-05,Philadelphia,98,Phoenix,108
2005-11-06,Brooklyn,80,Phoenix,112
2005-11-09,Chicago,74,Phoenix,94
2005-11-10,Cleveland,114,Phoenix,109 OT
2005-11-13,Phoenix,111,Sacramento,113
2005-11-16,Dallas,101,Phoenix,107
2005-11-17,New Orleans,84,Phoenix,95
2005-11-19,Phoenix,107,Los Angeles,102
2005-11-21,LA,111,Phoenix,122
2005-11-22,Phoenix,100,Chicago,82
2005-11-24,Phoenix,111,Milwaukee,104
2005-11-26,Phoenix,95,New Orleans,86
2005-11-30,Utah,102,Phoenix,115
2005-12-01,Phoenix,120,Cleveland,101
2005-12-03,Phoenix,93,Minnesota,97
2005-12-05,Portland,99,Phoenix,121
2005-12-07,Phoenix,118,Golden State,104
2005-12-08,Los Angeles,110,Phoenix,113
2005-12-10,Phoenix,115,Charlotte,106
2005-12-13,Phoenix,121,Orlando,100
2005-12-15,Phoenix,108,Utah,86
2005-12-17,Oklahoma City,110,Phoenix,112
2005-12-18,Phoenix,110,Washington,96
2005-12-20,Denver,105,Phoenix,107
2005-12-23,Phoenix,109,Memphis,102
2005-12-26,Phoenix,106,Toronto,94
2005-12-28,San Antonio,115,Phoenix,94
2005-12-29,New Orleans,96,Phoenix,107
2005-01-02,Phoenix,117,Portland,98
2005-01-04,Minnesota,115,Phoenix,122
2005-01-05,Houston,98,Phoenix,108
2005-01-08,LA,91,Phoenix,108
2005-01-09,Phoenix,124,Indiana,89
2005-01-11,Phoenix,122,Miami,107
